slice,signed_contrast,n,p_right_mouse,p_right_model,model,condition
block_0.2,0.25,243,0.8765432098765432,0.8899807164085255,pc,full_information
block_0.2,1.0,262,0.9541984732824428,0.9078893873072763,pc,full_information
block_0.5,-1.0,47,0.02127659574468085,0.15197316897993393,pc,full_information
block_0.5,-0.25,22,0.22727272727272727,0.3110712207853794,pc,full_information
block_0.5,-0.125,41,0.2926829268292683,0.3395171114584295,pc,full_information
block_0.5,-0.0625,30,0.4666666666666667,0.4958210123082002,pc,full_information
block_0.5,0.0,70,0.5285714285714286,0.513128977481808,pc,full_information
block_0.5,0.0625,44,0.5681818181818182,0.5310634293339469,pc,full_information
block_0.5,0.125,37,0.7567567567567568,0.46209009515272603,pc,full_information
block_0.5,0.25,29,0.8620689655172413,0.7539240666504564,pc,full_information
block_0.5,1.0,29,1.0,0.7696383934596489,pc,full_information
block_0.8,-1.0,249,0.0642570281124498,0.13469897813526502,pc,full_information
block_0.8,-0.25,271,0.1070110701107011,0.13949891392870142,pc,full_information
block_0.8,-0.125,295,0.13220338983050847,0.18065210201982723,pc,full_information
block_0.8,-0.0625,239,0.2175732217573222,0.2617083377200939,pc,full_information
block_0.8,-0.0,320,0.275,0.2777506910846569,pc,full_information
block_0.8,0.0625,72,0.4305555555555556,0.417057689693239,pc,full_information
block_0.8,0.125,70,0.5142857142857142,0.42350314259529115,pc,full_information
block_0.8,0.25,65,0.676923076923077,0.6399882589395229,pc,full_information
block_0.8,1.0,70,0.8285714285714286,0.7575097041470664,pc,full_information
all,-1.0,356,0.0898876404494382,0.4152084681927488,bayes,full_information
all,-0.25,348,0.13505747126436782,0.4071695626467124,bayes,full_information
all,-0.125,406,0.2019704433497537,0.3416494392776137,bayes,full_information
all,-0.0625,335,0.31044776119402984,0.3493358474614015,bayes,full_information
all,-0.0,713,0.41374474053295934,0.48841813647646726,bayes,full_information
all,0.0625,377,0.5755968169761273,0.6257777618002196,bayes,full_information
all,0.125,386,0.7150259067357513,0.6322940607299459,bayes,full_information
all,0.25,337,0.8367952522255193,0.6939034210821995,bayes,full_information
all,1.0,361,0.9335180055401662,0.6898287242469365,bayes,full_information
block_0.2,-1.0,60,0.25,0.6142397905389468,bayes,full_information
block_0.2,-0.25,55,0.23636363636363636,0.6149238597262989,bayes,full_information
block_0.2,-0.125,70,0.44285714285714284,0.5431156882217952,bayes,full_information
block_0.2,-0.0625,66,0.5757575757575758,0.5571457097927729,bayes,full_information
block_0.2,0.0,323,0.5263157894736842,0.664577383651822,bayes,full_information
block_0.2,0.0625,261,0.6168582375478927,0.6964848569069786,bayes,full_information
block_0.2,0.125,279,0.7598566308243727,0.6956369094951178,bayes,full_information
block_0.2,0.25,243,0.8765432098765432,0.7519191822397365,bayes,full_information
block_0.2,1.0,262,0.9541984732824428,0.7472030702438063,bayes,full_information
block_0.5,-1.0,47,0.02127659574468085,0.4081101582405415,bayes,full_information
block_0.5,-0.25,22,0.22727272727272727,0.40996995161880145,bayes,full_information
block_0.5,-0.125,41,0.2926829268292683,0.34492378954480335,bayes,full_information
block_0.5,-0.0625,30,0.4666666666666667,0.3476939186453819,bayes,full_information
block_0.5,-0.0,70,0.5285714285714286,0.4168953150510788,bayes,full_information
